strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Togo/BMC-16658-20/2020	EPI_ISL_1416222		Institut National d'hygiène	"Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)"	Mounerou SALOU et al
hCoV-19/Togo/BMC-16649-20/2020	EPI_ISL_1416192		Institut National d'hygiène	"Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)"	Mounerou SALOU et al
hCoV-19/Senegal/620/2020	EPI_ISL_420078		Institut Pasteur Dakar	Institut Pasteur de Dakar	Ndongo Dia et al
hCoV-19/NewZealand/20VR3131/2020	EPI_ISL_1250695		Wellington SCL (WN)	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/Coted-Ivoire/BKE0965/2020	EPI_ISL_614393		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
hCoV-19/CentralAfricanRepublic/23743/2020	EPI_ISL_2281228		Insitut Pasteur Bangui	Institut Pasteur de Dakar	Marie-Astrid Vernet et al
hCoV-19/Australia/QLD1477/2020	EPI_ISL_849733		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
hCoV-19/Mali/CICM9777/2021	EPI_ISL_2683495		CICM, Bamako	Malaria Research and Training Center-Bamako	Antoine Dara et al
hCoV-19/Kazakhstan/129404/2020	EPI_ISL_1334572		Laboratory of virology, National center of expertise	RSE "National Center for Biotechnology" and RSE "National Center of Expertise"	Shevtsov Alexandr et al
hCoV-19/Egypt/CUNCI-HGC9I022/2020	EPI_ISL_857332	MW504605.1	Cancer Biology Department, National Cancer Institute	Cancer Biology Department, National Cancer Institute	Zekri et al
hCoV-19/Qatar/QA-WCMQ_FD17571337/2020	EPI_ISL_1714328		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
hCoV-19/Ghana/81216_S36/2020	EPI_ISL_515098	MT890238.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al
hCoV-19/Australia/WA128/2020	EPI_ISL_596691		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Kenya/KDH-077/2020	EPI_ISL_2779456		KCRH KEMRI/DEID Surveillance Site	USAMRD-A, Basic Science Laboratory	Gathii Kimita et al
hCoV-19/Uganda/UG121/2020	EPI_ISL_738028		Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
hCoV-19/Uganda/UG358/2020	EPI_ISL_1469424		MRC/UVRI & LSHTM Uganda Research Unit	Where sequence data have been generated and submitted to GISAID	Matthew Cotten et al
hCoV-19/Malawi/CERI-KRISP-K015892/2021	EPI_ISL_2617047		Africa_CDC - Malawi P6 S2	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Mvula B et al
hCoV-19/DRC/214214/2021	EPI_ISL_2135840		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Uganda/UG204/2021	EPI_ISL_954300		MRC/UVRI & LSHTM Uganda Research Unit	Where sequence data have been generated and submitted to GISAID	Matthew Cotten et al
hCoV-19/Vietnam/HCMC-05046-02/2021	EPI_ISL_1366744		OUCRU	OUCRU	Nguyen Van Vinh Chau et al
hCoV-19/Vietnam/HCMC-05049-02/2021	EPI_ISL_1366745		OUCRU	OUCRU	Nguyen Van Vinh Chau et al
hCoV-19/Vietnam/HCMC-05044-02/2021	EPI_ISL_1366743		OUCRU	OUCRU	Nguyen Van Vinh Chau et al
hCoV-19/Uganda/MAKCHScov2/2020	EPI_ISL_1652050	MZ287347.1	Integrated Biorepository of H3Africa Uganda – IBRH3AU	Molecular Biology Laboratory	Savannah Mwesigwa et al
hCoV-19/Rwanda/NRLNAT4036/2021	EPI_ISL_2362523		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Rwanda/NRLNAT4050/2021	EPI_ISL_2521987		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Rwanda/NRLNAT4045/2021	EPI_ISL_2521982		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Rwanda/NRLNAT4066/2021	EPI_ISL_2522096		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Australia/SA0214/2020	EPI_ISL_468032		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Turkey/Ankara_GUMV_22790/2020	EPI_ISL_730571		Gazi University Faculty of Medicine, Medical Virology Laboratory	Gazi University Faculty of Medicine, Medical Virology Laboratory	Erdem Şahin et al
hCoV-19/Germany/BY-ChVir-929/2020	EPI_ISL_406862	MT270101.1	Charité Universitätsmedizin Berlin, Institute of Virology; Institut für Mikrobiologie der Bundeswehr, Munich	Charité Universitätsmedizin Berlin, Institute of Virology	Victor M Corman et al A (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
hCoV-19/Bangladesh/ECHD_00476/2020	EPI_ISL_2350799		Molecular Lab, Evercare hospital Dhaka	International Institute for Zoonosis Control, Hokkaido university	Junya Yamagishi et al
hCoV-19/England/20100121006/2020	EPI_ISL_415140		Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
hCoV-19/Australia/WA01/2020	EPI_ISL_420531		Department of Microbiology, PathWest QEII Medical Centre	Department of Microbiology, PathWest QEII Medical Centre	Chisha Sikazwe et al
hCoV-19/Honduras/8204/2021	EPI_ISL_2650538		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Hilda Chinchilla et al
hCoV-19/Mexico/NAY_IBT_IMSS_1838/2021	EPI_ISL_3133763		Centro de Investigación Biomédica de Occidente (CIBO)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Honduras/324456/2021	EPI_ISL_2650526		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Honduras/5733/2021	EPI_ISL_2650536		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Elda Martínez et al
hCoV-19/Mexico/CHP-InDRE_FB16525_S3332/2021	EPI_ISL_2689795		LESP Chiapas	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/CHP_LANGEBIO_IMSS_1865/2021	EPI_ISL_3568822		Laboratorio Central de Epidemiologia (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/MEX-INMEGEN-05-01-255/2021	EPI_ISL_2178756		Salud Digna	Instituto Nacional de Medicina Genomica	Hidalgo-Miranda A et al
hCoV-19/Mexico/MOR_LANGEBIO_IMSS_1392/2021	EPI_ISL_3568775		Laboratorio Central de Epidemiologia (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/ZAC_LANGEBIO_IMSS_1649/2021	EPI_ISL_3568802		Unidad de Investigacion Biomedica de Zacatecas (UIBZ)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Honduras/336319/2021	EPI_ISL_2650534		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Honduras/328015/2021	EPI_ISL_2650533		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Honduras/325577/2021	EPI_ISL_2648247		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Mexico/SON-InDRE_FB23113_S5313/2021	EPI_ISL_3459986		LESP Sonora	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Honduras/5413/2021	EPI_ISL_2650535		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Elda Martínez et al
hCoV-19/Honduras/327331/2021	EPI_ISL_2650530		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Honduras/327008/2021	EPI_ISL_2648253		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Guatemala/2276/2021	EPI_ISL_3319044		Laboratorio Nacional de Salud, Ministerio de Salud Publica y Asistencia Social	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	César Roberto Conde Pereira et al
hCoV-19/Honduras/316254/2021	EPI_ISL_2650523		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Honduras/38712/2021	EPI_ISL_2648260		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Nelly Amador et al
hCoV-19/Mexico/BCN_IBT_IMSS_2019/2021	EPI_ISL_3133790		Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/CostaRica/CRV-0009/2020	EPI_ISL_480313		Hospital Mexico	Charité Virology-University of Costa Rica	Andres Moreira-Soto et al
hCoV-19/Panama/GMI-PA350872/2020	EPI_ISL_1225374		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
hCoV-19/Panama/GMI-PA462115/2020	EPI_ISL_1225553		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
hCoV-19/CzechRepublic/ChVir1630/2020	EPI_ISL_416742		NRL for Influenza, Centrum Epidemiology and Microbiology of National Institute of Public Health, Czech Republic	Charite Universitaetsmedizin Berlin, Institute of Virology	Victor M Corman et al B
hCoV-19/CostaRica/CRV-0015/2020	EPI_ISL_480319		Hospital Clínica Bíblica	Charité Virology-University of Costa Rica	Andres Moreira-Soto et al
hCoV-19/Maldives/MAV04600/2020	EPI_ISL_3275391		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al
hCoV-19/Maldives/MAV00499/2020	EPI_ISL_3275380		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al
hCoV-19/Maldives/MAV00052/2020	EPI_ISL_3275382		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin et al
hCoV-19/NewZealand/20VR0997/2020	EPI_ISL_579119	MZ331901.1	LabPLUS	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Peru/LIM-UPCH-0084/2020	EPI_ISL_540962		Laboratorio de Referencia Nacional de Virus Respiratorios, Instituto Nacional de Salud Peru	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Pablo Tsukayama et al
hCoV-19/Ecuador/USFQ-533/2020	EPI_ISL_697799		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Belén Prado-Vivar et al
hCoV-19/Finland/28MR2CG3_S315/2020	EPI_ISL_902830		Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
hCoV-19/Latvia/1358/2020	EPI_ISL_1613125		LIC	Latvian Biomedical Research and Study Centre	Janis Pjalkovskis et al
hCoV-19/Belgium/UGent-1054/2021	EPI_ISL_846557		Lab voor klinische biologie	Lab voor klinische biologie	Hannelore Hamerlinck et al
hCoV-19/NewZealand/20CV0398/2020	EPI_ISL_582017		LabPLUS	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/NewZealand/20CV0408/2020	EPI_ISL_582019		PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Norway/1281/2021	EPI_ISL_962912		Akershus University Hospital, Department for Microbiology and Infectious Disease Control	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
hCoV-19/Switzerland/GE-32845214/2020	EPI_ISL_847882	FR990625.1	University Hospitals of Geneva, Laboratory of Virology	HUG, Laboratory of Virology and the Health2030 Genome Center	Samuel Cordey et al
hCoV-19/Australia/NT67/2020	EPI_ISL_779406		Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
hCoV-19/Italy/CAM-AMES-3-76/2021	EPI_ISL_1082525		ASL Napoli 1 Centro	AMES Centro Polidiagnostico Strumentale S.r.l.	"Giovanni Savarese et al
hCoV-19/Spain/CT-IBV-99009908/2020	EPI_ISL_660305		Servicio de Microbiología, Laboratori Clínic Metropolitana Nord. Hospital Universitari Germans Trias i Pujol. Institut d’Investigació en Ciències de la Salut Germans Trias i Pujol (IGTP)	SeqCOVID-SPAIN consortium/IBV(CSIC)	Elisa Martró et al
hCoV-19/Iceland/5089/2020	EPI_ISL_828776	OU166731.1	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al B
hCoV-19/Spain/MD-IBV-99007138/2020	EPI_ISL_541911		Hospital General Universitario Gregorio Marañón	SeqCOVID-SPAIN consortium/IBV(CSIC)	Laura Pérez-Lago et al
hCoV-19/Cameroon/CV424/2020	EPI_ISL_845554		National Public Health Laboratory, Cameroon	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University	Oluniyi P.E. et al A
hCoV-19/Mauritius/P-016004/2020	EPI_ISL_2499906		Virology Department, Central Health Laboratory	The Francis Crick Institute	Ramuth M et al
hCoV-19/Denmark/DCGC-65063/2020	EPI_ISL_1873634		Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	Aalborg University	Danish Covid-19 Genome Consortium et al
hCoV-19/Italy/APU-IZSPB_314PT/2020	EPI_ISL_653808		I.R.C.C.S. "S. De Bellis" - Ente Ospedaliero	Istituto Zooprofilattico Sperimentale della Puglia e della Basilicata	Parisi A. et al
hCoV-19/Spain/MD-IBV-99012364/2020	EPI_ISL_780007		Hospital General Universitario Gregorio Marañón	SeqCOVID-SPAIN consortium/IBV(CSIC)	Darío García de Viedma et al
hCoV-19/Portugal/PT2813/2021	EPI_ISL_941798		H Guimaraes	Instituto Nacional de Saude (INSA) and Instituto Gulbenkian de Ciencia (IGC)	Borges et al
hCoV-19/Thailand/Chonburi-SQ-SM0001/2020	EPI_ISL_708807		Regional medical sciences center 6 chonburi	National Institute of Health, Department of Medical Sciences, Ministry of Public Health, Thailand	Pilailuk Okada et al
hCoV-19/Denmark/DCGC-45563/2020	EPI_ISL_1025941		Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	Aalborg University	Danish Covid-19 Genome Consortium et al
hCoV-19/Denmark/DCGC-4050/2020	EPI_ISL_622006		Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortia et al
hCoV-19/Denmark/DCGC-11720/2020	EPI_ISL_671092		Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium et al
hCoV-19/Germany/SH-ChVir20806/2020	EPI_ISL_729416		A. Krumbholz, Labor Dr. Krause und Kollegen MVZ GmbH, Kiel	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B
hCoV-19/Ireland/KY-NVRL-21IRL35806/2020	EPI_ISL_1055141		National Virus Reference Laboratory	National Virus Reference Laboratory	Guerrino Macori et al
hCoV-19/Lithuania/ID1731/2020	EPI_ISL_1005227		Vilnius university hospital Santaros Klinikos, Center of Laboratory Medicine	Vilnius university hospital Santaros Klinikos, Center of Laboratory Medicine	Gytis Dudas et al
hCoV-19/Latvia/ID3126/2020	EPI_ISL_1005231		Vilnius university hospital Santaros Klinikos, Center of Laboratory Medicine	Vilnius university hospital Santaros Klinikos, Center of Laboratory Medicine	Gytis Dudas et al
hCoV-19/Guinea/Conakry_IPG9778/2020	EPI_ISL_2245958		Institut Pasteur de Guinée	Institut Pateur de Dakar	Grayo Solene et al
hCoV-19/Botswana/R8B21_BHP_AAB0941/2021	EPI_ISL_2233461		Botswana Harvard HIV Reference Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Wonderful T. Choga et al
hCoV-19/Gambia/S-3087K/2020	EPI_ISL_810986		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al
hCoV-19/Cuba/USAFSAM-S030/2020	EPI_ISL_513312	MT873896.1	Public Health, United States Air Force School of Aerospace Medicine	Public Health, United States Air Force School of Aerospace Medicine	Fries et al
hCoV-19/Mexico/BCS-InDRE_133/2020	EPI_ISL_913936		Instituto de Diagnostico y Referencia Epidemiologicos INDRE_RNLSP	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI023/2021	EPI_ISL_1016508		University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research Laboratory	University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research Laboratory	Goletic T. et al
hCoV-19/Chile/AT-CMM-ATAC07/2020	EPI_ISL_626553		Laboratorio de Biología Molecular, Facultad de Medicina, Universidad de Atacama, Copiapo, Chile/ FONDAP CRG, Universidad Andrés Bello, Santiago, Chile	Center for Mathematical Modeling and Center for Genome Regulation. Santiago, Chile	Echeverría C et al
